Marka;Ile;Suma Cen;Średni Przebieg
Toyota;4;406884;186642.0
Mazda;3;324889;117250.33
Skoda;7;537614;217044.14
Dacia;2;226706;208823.0
Fiat;3;180232;124733.0
BMW;4;401665;121991.0
Seat;3;204116;71755.0
Audi;4;402180;127590.75
Citroen;3;238337;222579.67
Kia;2;155402;202943.0
Chrysler;1;127878;83347.0
Opel;3;220827;266219.67
Mercedes;2;207220;135875.0
Honda;1;46733;262556.0
Ford;3;218212;120493.0
Volvo;1;77119;58368.0
Peugeot;2;136965;140365.0
Alfa Romeo;2;62175;136266.5
Chevrolet;2;168104;187684.0
Aston Martin;1;53833;54917.0
Volswagen;1;10029;212862.0
Chrysler;5;599601;140117.6
Volvo;5;430676;178299.6
Peugeot;4;344962;228712.25
Mercedes;2;56283;185237.5
Audi;2;167096;115292.0
Honda;2;199786;256469.5
Dacia;2;87926;114563.0
Renault;2;188636;160838.0
Volswagen;3;172326;143382.0
Ford;2;129035;141206.5
Opel;2;103507;92693.0
Chevrolet;5;292561;185720.4
BMW;2;149389;144393.0
Daewoo;4;341785;185143.25
Alfa Romeo;2;238994;143307.5
Fiat;1;113399;204162.0
Kia;1;40021;133201.0
Toyota;2;217737;184235.5
Seat;1;132189;295173.0
Aston Martin;2;236303;210906.0
Honda;3;337875;134087.33
Kia;4;319283;167279.5
Volswagen;3;247782;185961.67
Volvo;4;296104;128023.0
Chrysler;4;343342;129935.75
Fiat;2;87604;62894.5
Mazda;3;273621;87007.67
Seat;3;333400;217425.67
Alfa Romeo;3;328680;246635.33
Audi;4;205686;208368.25
Chevrolet;3;161902;149212.67
BMW;2;130490;102925.0
Opel;3;269154;119383.67
Toyota;3;97795;177433.0
Skoda;1;59484;86092.0
Renault;3;278680;133925.33
Peugeot;2;180651;150583.5
Ford;1;55000;116070.0
Citroen;1;73724;265386.0
Daewoo;4;294218;208309.75
Dacia;1;126826;71164.0
Aston Martin;1;121765;277374.0
Mercedes;1;66374;85010.0
Dacia;4;294352;153835.5
Alfa Romeo;4;391177;147330.0
Fiat;2;183352;237499.5
Daewoo;4;270083;134492.0
Chevrolet;4;509320;125183.0
Aston Martin;2;135691;209415.5
Peugeot;1;107996;148502.0
Kia;8;621929;166631.25
Ford;3;241749;195406.67
Chrysler;2;157462;104004.0
Honda;1;85587;86808.0
BMW;1;148306;160410.0
Seat;2;109867;226454.5
Renault;1;100718;99444.0
Volswagen;2;154183;294104.0
Mercedes;3;141728;244392.0
Mazda;1;34552;86151.0
Audi;1;42772;112838.0
Skoda;1;19795;102117.0
Honda;4;270188;127687.0
Toyota;3;224257;183101.33
Mercedes;3;270037;176571.33
Peugeot;4;437883;224723.0
Alfa Romeo;3;261704;148060.33
Opel;4;273785;175781.75
Skoda;4;299770;154332.75
Citroen;2;150243;84923.0
Kia;2;133811;201545.0
BMW;1;49304;131039.0
Seat;3;144724;182206.0
